run_name,supervision,n_orb,num_layers,geometry,seed,val_transmission,l12_transmission,l16_transmission,l12_dos,l16_dos,onsite_near,onsite_far,ci_interior_mode,ci_interior_total,onsite_abs_mean,onsite_std,saved_at_epoch
ham_ldos_n2_L4_geom_s3731635825,LDOS+DOS+T,2,4,on,3731635825,0.29856157462511745,2.3826155128192736,2.0283423595619907,0.17293195553323437,0.15723965643825635,1.519708656180064,4.741283483864168,0.5993907506917036,0.6309351165565618,3.2746728159343728,3.9551515563598176,6341
ham_ldosonly_n1_L2_nogeom_s1179027592,LDOS+T,1,2,off,1179027592,0.5465378005589757,2.7314997551383273,2.5323653981001906,0.28681276762251484,0.23572519942571152,2.143562467324161,2.143562467324161,0.26562619027572654,0.26565793060533927,2.135288580450375,1.3911425797783448,339
ham_ldosonly_n1_L2_nogeom_s2129768291,LDOS+T,1,2,off,2129768291,0.5606600046157837,2.9930805259197384,2.5838315546484036,0.3035455288452132,0.2554742954439832,2.119982138582941,2.119982138582941,0.20392381392063869,0.32096019904397594,2.244213774731016,1.1475106806724318,330
ham_ldosonly_n1_L2_nogeom_s3731635825,LDOS+T,1,2,off,3731635825,0.5298057485904012,2.708463897164103,2.420289320588354,0.31243691254426514,0.27003521943509334,1.9988352168825603,1.9988352168825603,0.175895594204976,0.17912475906334763,2.0096951941048653,0.9777869141246252,171
ham_ldosonly_n1_L2_geom_s1179027592,LDOS+T,1,2,on,1179027592,0.5315829675112452,2.451801314125328,2.4555941388168563,0.2954774886581947,0.2615870596486878,1.7010934283828303,1.7010934283828303,0.14421023443488512,0.14884568266244808,1.6909441766769873,0.6428530128962794,270
ham_ldosonly_n1_L2_geom_s2129768291,LDOS+T,1,2,on,2129768291,0.5433441762413297,2.8986032098307737,2.4409251702144,0.31404316035047863,0.25836035678212066,2.0228604336954032,2.0228604336954032,0.1865563031002604,0.18659550186829296,2.037410735057086,0.9625739017031637,212
ham_ldosonly_n1_L2_geom_s3731635825,LDOS+T,1,2,on,3731635825,0.5416062016572271,2.5201325040748053,2.527968208106218,0.2983244928638177,0.2789279228580064,2.0515193067073874,2.0515193067073874,0.20086802790761782,0.23435335442442443,2.080288813396551,1.2046322254260216,275
ham_ldosonly_n1_L4_nogeom_s1179027592,LDOS+T,1,4,off,1179027592,0.45901769931827274,2.718096330044612,2.8157039538986295,0.3261737331874715,0.27676056635582047,2.479064475882502,2.479064475882502,0.43037440844080477,0.5569848702184195,2.6786821295270014,2.6667433862355105,6782
ham_ldosonly_n1_L4_nogeom_s2129768291,LDOS+T,1,4,off,2129768291,0.4739092854516847,2.166529609271021,2.7675403964984375,0.36560390107827634,0.3273731214193485,2.313663108624108,2.313663108624108,0.40207965953193275,0.461413853741109,2.624361941452954,2.2131500159551543,1107
ham_ldosonly_n1_L4_nogeom_s3731635825,LDOS+T,1,4,off,3731635825,0.48209371098450254,2.908769548229041,3.400209277009007,0.31623277151662205,0.2603394714564783,2.385727683245493,2.385727683245493,0.30917936096550197,0.4863285725586751,2.4590415877934357,1.8051702394404552,1218
ham_ldosonly_n1_L4_geom_s1179027592,LDOS+T,1,4,on,1179027592,0.4493734357612474,2.4869213185828274,2.7222254522572276,0.350975518487711,0.321009057492452,2.0975659769541615,2.0975659769541615,0.33656076782223554,0.3849819062923807,2.255936897567488,1.454475693173016,846
ham_ldosonly_n1_L4_geom_s2129768291,LDOS+T,1,4,on,2129768291,0.4842867744820459,3.364684415677302,2.7968978786018814,0.32658156121311455,0.29650739784398705,2.5459194612824914,2.5459194612824914,0.4268758243533395,0.522104140593234,2.7257014856840724,2.77869548514788,4492
ham_ldosonly_n1_L4_geom_s3731635825,LDOS+T,1,4,on,3731635825,0.47190259184156147,2.7537909842338752,2.9562825125380456,0.3741537234809604,0.34596041501118346,2.561105418797889,2.561105418797889,0.48552125188649753,0.5883750347970576,2.8335862901966187,2.6422413580833037,1905
ham_ldosonly_n2_L2_nogeom_s1179027592,LDOS+T,2,2,off,1179027592,0.4206120552761214,2.6487016427572065,2.310994160738786,0.19451128541950824,0.1839002132274636,1.2843884791524207,2.654830286429905,0.17926584593991346,0.23178022075779364,2.1050343940981606,1.3855505133182986,616
ham_ldosonly_n2_L2_nogeom_s2129768291,LDOS+T,2,2,off,2129768291,0.5169908265982356,2.746599060953019,2.44391963003125,0.18236090079561623,0.16781152570880106,2.1662586871544027,10.24078398672458,0.8694860889063595,0.8930924551011159,6.360999146957389,7.214487099176386,2274
ham_ldosonly_n2_L2_nogeom_s3731635825,LDOS+T,2,2,off,3731635825,0.5037011089069503,2.785219264570994,2.4112699876781063,0.2324323286915499,0.1923432222814344,1.332467667897863,2.628986590100484,0.1686435738951957,0.16867461695969532,1.9927307046047937,2.1841510304150353,362
ham_ldosonly_n2_L2_geom_s1179027592,LDOS+T,2,2,on,1179027592,0.47480951249599457,2.8338620204434726,2.4033531190470026,0.1935432168818634,0.1751162280260684,1.8762402107968708,3.2598675673818174,0.18509919961948007,0.2396170714370599,2.769642008920715,2.6321291260958994,1158
ham_ldosonly_n2_L2_geom_s2129768291,LDOS+T,2,2,on,2129768291,0.44781772047281265,2.881567737342192,2.314520057476515,0.20837932298804396,0.1843518678439316,1.37554706497233,3.842217964561804,0.2324509471918088,0.24568770815221586,2.6716146966914467,3.0282302844716,625
ham_ldosonly_n2_L2_geom_s3731635825,LDOS+T,2,2,on,3731635825,0.5256051453096526,2.732562618117137,2.2119225212115285,0.25198336141552724,0.22402169578581782,1.022320855366973,4.412323175420162,0.37965390072642324,0.3867682900773496,2.758096600988846,3.283743659145695,741
ham_ldosonly_n2_L4_nogeom_s1179027592,LDOS+T,2,4,off,1179027592,0.3414697082979338,2.597782962157159,2.0176527273715514,0.17606007241046714,0.16306738928054684,1.446473442945845,4.4155811257678845,0.7963469154517168,0.8254889526871896,3.2110384978208293,4.0028024363144965,9043
